id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0000569,1,2016-01-03T19:51:38.000+05:30,2016-01-03T19:53:41.000+05:30,3,-73.96197509765625,40.76773452758789,-73.95858764648438,40.77301025390625,N,123
id0000967,2,2016-02-27T15:30:56.000+05:30,2016-02-27T15:35:55.000+05:30,1,-73.97216033935547,40.755924224853516,-73.98228454589844,40.757041931152344,N,299
id0005214,2,2016-03-26T21:39:49.000+05:30,2016-03-26T21:52:20.000+05:30,2,-73.98606872558594,40.74650192260742,-73.96249389648438,40.76422119140625,N,751
id2875421,2,2016-03-14T17:24:55.000+05:30,2016-03-14T17:32:30.000+05:30,1,-73.9821548461914,40.76793670654297,-73.96463012695312,40.765602111816406,N,455
id2377394,1,2016-06-12T00:43:35.000+05:30,2016-06-12T00:54:38.000+05:30,1,-73.98041534423828,40.738563537597656,-73.99948120117188,40.73115158081055,N,663
id3858529,2,2016-01-19T11:35:24.000+05:30,2016-01-19T12:10:48.000+05:30,1,-73.9790267944336,40.763938903808594,-74.00533294677734,40.710086822509766,N,2124
id3504673,2,2016-04-06T19:32:31.000+05:30,2016-04-06T19:39:40.000+05:30,1,-74.01004028320312,40.719970703125,-74.01226806640625,40.70671844482422,N,429
id2181028,2,2016-03-26T13:30:55.000+05:30,2016-03-26T13:38:10.000+05:30,1,-73.97305297851562,40.793209075927734,-73.9729232788086,40.78252029418945,N,435
id0801584,2,2016-01-30T22:01:40.000+05:30,2016-01-30T22:09:03.000+05:30,6,-73.98285675048828,40.74219512939453,-73.99208068847656,40.749183654785156,N,443
id1813257,1,2016-06-17T22:34:59.000+05:30,2016-06-17T22:40:40.000+05:30,4,-73.9690170288086,40.75783920288086,-73.95740509033203,40.76589584350586,N,341
id1324603,2,2016-05-21T07:54:58.000+05:30,2016-05-21T08:20:49.000+05:30,1,-73.96927642822266,40.79777908325195,-73.92247009277344,40.76055908203125,N,1551
id1301050,1,2016-05-27T23:12:23.000+05:30,2016-05-27T23:16:38.000+05:30,1,-73.99948120117188,40.738399505615234,-73.98578643798828,40.73281478881836,N,255
id0012891,2,2016-03-10T21:45:01.000+05:30,2016-03-10T22:05:26.000+05:30,1,-73.98104858398438,40.74433898925781,-73.9729995727539,40.78998947143555,N,1225
id1436371,2,2016-05-10T22:08:41.000+05:30,2016-05-10T22:29:55.000+05:30,1,-73.98265075683594,40.76383972167969,-74.00222778320312,40.73299026489258,N,1274
id1299289,2,2016-05-15T11:16:11.000+05:30,2016-05-15T11:34:59.000+05:30,4,-73.99153137207031,40.74943923950195,-73.95654296875,40.7706298828125,N,1128
id1187965,2,2016-02-19T09:52:46.000+05:30,2016-02-19T10:11:20.000+05:30,2,-73.96298217773438,40.75667953491211,-73.98440551757812,40.760719299316406,N,1114
id0799785,2,2016-06-01T20:58:29.000+05:30,2016-06-01T21:02:49.000+05:30,1,-73.95630645751953,40.767940521240234,-73.96611022949219,40.76300048828125,N,260
id2900608,2,2016-05-27T00:43:36.000+05:30,2016-05-27T01:07:10.000+05:30,1,-73.99219512939453,40.72722625732422,-73.97465515136719,40.7830696105957,N,1414
id3319787,1,2016-05-16T15:29:02.000+05:30,2016-05-16T15:32:33.000+05:30,1,-73.95551300048828,40.768592834472656,-73.94876098632812,40.77154541015625,N,211
id3379579,2,2016-04-11T17:29:50.000+05:30,2016-04-11T18:08:26.000+05:30,1,-73.99116516113281,40.75556182861328,-73.9992904663086,40.7253532409668,N,2316
id1154431,1,2016-04-14T08:48:26.000+05:30,2016-04-14T09:00:37.000+05:30,1,-73.99425506591797,40.74580383300781,-73.9996566772461,40.72334289550781,N,731
id3552682,1,2016-06-27T09:55:13.000+05:30,2016-06-27T10:17:10.000+05:30,1,-74.00398254394531,40.7130126953125,-73.97919464111328,40.74992370605469,N,1317
id3390316,2,2016-06-05T13:47:23.000+05:30,2016-06-05T13:51:34.000+05:30,1,-73.98388671875,40.738197326660156,-73.99120330810547,40.72787094116211,N,251
